タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
ドッグダンストリック：スピンを教える,https://www.youtube.com/watch?v=BxwDFOP0ajo,15,77,19,2020/04/28
【伊達武将隊】キラメイダンス【踊ってみた】,https://www.youtube.com/watch?v=eFafLb2aAv8,1819,2490,73,2020/04/27
【手洗いダンス】〜Wash Your Hands〜ゆうひなたver.,https://www.youtube.com/watch?v=hWtah2xmnfA,53901,195000,27,2020/04/27
お家でハンデッドダンスを踊ろう【HANDEAD ANTHEM】,https://www.youtube.com/watch?v=UHWMaPXLDcY,4656,21200,21,2020/04/27
いないいないばあっ❤とダンスのクセが強い…😆／パーフェクトヒューマン視聴…あれやるか！？　Peek-a-boo!!,https://www.youtube.com/watch?v=3crPhPEflGo,23351,28000,83,2020/04/27
４ｋ！ダンス！dance！お洒落な衣装！可憐なダンスを披露♪189,https://www.youtube.com/watch?v=5JIW_DFPfSc,475,1290,36,2020/04/27
SPROUT無料オンラインダンスレッスン / Kanoko 見本動画,https://www.youtube.com/watch?v=_3-EiW4g2w0,250,4640,5,2020/04/27
【社交ダンス】体幹トレ宿題シリーズ お腹周り,https://www.youtube.com/watch?v=kCFPIOjQveE,731,4180,17,2020/04/27
【Fortnite】棺桶ダンス1v1MAP‼︎,https://www.youtube.com/watch?v=5qZAUfenfGw,497,2880,17,2020/04/27
DANCE NATION2019 #ダンス舞台「私はアンドロイド」/ 演出・振付 楢木和也(梅棒) &amp; kie(Red Print) &amp; MITSUSHI,https://www.youtube.com/watch?v=VIHEYjfbJMw,303,451,67,2020/04/27
【おうちじかん】娘と楽しくダンス②,https://www.youtube.com/watch?v=32a-wyNUrH8,525,2630,19,2020/04/27
아이즈원(IZ*ONE) - AYAYAYA (Part.1) Dance Cover｜KPOPカバーダンス｜Dance Studio MARU (ayame.),https://www.youtube.com/watch?v=0hYhIHBtJ3w,225,720,31,2020/04/27
【おうちで楽しくダンスエクササイズ④】ジョンテの「DANCE UP!」簡単ダンスステップ 3 &amp; 4,https://www.youtube.com/watch?v=unGiC58HY7M,246,743,33,2020/04/27
